variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,timestamp
zone_full,43,random_paired,43,0.0964231267571449,0.1711654365062713,7.292427122592926,0.094776451587677,0.0981270149350166,0.11560969799757,0.0996385291218757,0.1084853410720825,0.1035701334476471,0.0908698663115501,0.0914282724261283,0.096149243414402,0.0880096554756164,100,358452,9.3,cpu,ok,2026-08-22T00:11:44
zone_full,44,random_paired,44,0.1025111973285675,0.1640639305114746,7.776614278554916,0.0998196303844451,0.1028488054871559,0.1243073642253875,0.1015292853116989,0.112179011106491,0.1078909561038017,0.0971953347325325,0.0970128178596496,0.1018020138144493,0.1221483424305915,100,358452,9.9,cpu,ok,2026-08-22T00:11:53
zone_full,45,random_paired,45,0.1038107126951217,0.1734751462936401,7.902952283620834,0.1009806469082832,0.1052537560462951,0.1289944648742675,0.1085210740566253,0.1198948100209236,0.1102257445454597,0.0966647863388061,0.0977168828248977,0.1030804440379142,0.1218651384115219,69,358452,7.1,cpu,ok,2026-08-22T00:12:00
zone_full,46,random_paired,46,0.0757226347923278,0.1319214850664138,5.756943672895432,0.0744393914937973,0.0765506476163864,0.0852776914834976,0.0759717151522636,0.0804092213511467,0.0780643299221992,0.0738963186740875,0.0721888691186904,0.0755397230386734,0.0714189186692237,100,358452,11.2,cpu,ok,2026-08-22T00:12:12
zone_full_tc,42,random_paired,42,0.078103631734848,0.13401460647583,5.991250276565552,0.0770545303821563,0.0782173722982406,0.0845216959714889,0.0795869305729866,0.0827946737408638,0.0790205970406532,0.0764286145567894,0.0768180042505264,0.0778249353170394,0.0760429501533508,100,358788,32.9,cpu,ok,2026-08-22T00:12:45
zone_full_tc,43,random_paired,43,0.0952420532703399,0.1702628880739212,7.129565626382828,0.0927829295396804,0.0964897722005844,0.1147967278957367,0.0966227725148201,0.106444239616394,0.0997895002365112,0.0897953808307647,0.0926632508635521,0.0946526750922203,0.0834661498665809,78,358788,25.6,cpu,ok,2026-08-22T00:13:10
zone_full_tc,44,random_paired,44,0.0992071703076362,0.1617657989263534,7.565268129110336,0.0965204462409019,0.0995267927646637,0.1249024793505668,0.0985436141490936,0.1130772531032562,0.1042041853070259,0.0938026681542396,0.0929914563894271,0.0985482037067413,0.1127851977944374,100,358788,33.4,cpu,ok,2026-08-22T00:13:44
zone_full_tc,45,random_paired,45,0.0843457877635955,0.1520956307649612,6.293897330760956,0.0819543153047561,0.0852763801813125,0.1056630760431289,0.0871324464678764,0.0972191467881202,0.090618796646595,0.0785371512174606,0.0803984850645065,0.083655409514904,0.0891254618763923,70,358788,23.2,cpu,ok,2026-08-22T00:14:07
zone_full_tc,46,random_paired,46,0.0819617360830307,0.1381896138191223,6.248750165104866,0.080092966556549,0.0835048556327819,0.0991931036114692,0.0848972350358963,0.094986692070961,0.0852065086364746,0.0768788382411003,0.0783174335956573,0.0817529037594795,0.0810605883598327,83,358788,27.8,cpu,ok,2026-08-22T00:14:35
zone_full_sinc,42,random_paired,42,0.0725321024656295,0.1287893801927566,5.508777499198914,0.072523295879364,0.0728518068790435,0.0761128216981887,0.0741186961531639,0.0742416456341743,0.0758339315652847,0.0712738037109375,0.0716630667448043,0.0726127922534942,0.0724725201725959,100,361428,35.5,cpu,ok,2026-08-22T00:15:10
